original_name,english_name,slug,smiles,inchi,skeletal_svg_path,full_atoms_svg_path,render_type,resolver_status,status,reason
Phosphatidsäure,Phosphatidic acid,phosphatidsaeure,,"InChI=1S/C35H69O8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(36)41-31-33(32-42-44(38,39)40)43-35(37)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33H,3-32H2,1-2H3,(H2,38,39,40)/t33-/m1/s1",assets/molecules/vorhanden/lipide/phosphatidsaeure__skeletal.svg,assets/molecules/vorhanden/lipide/phosphatidsaeure__full_atoms.svg,structure,resolved,generated_structure,
Phosphoenolpyruvat,Phosphoenolpyruvate,phosphoenolpyruvat,,"InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/phosphoenolpyruvat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/phosphoenolpyruvat__full_atoms.svg,structure,resolved,generated_structure,
Pi,Pi,pi,,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3",assets/molecules/vorhanden/kleine_molekuele_ionen/pi__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/pi__full_atoms.svg,structure,resolved,generated_structure,
PPi,PPi,ppi,,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)/p-4",assets/molecules/vorhanden/kleine_molekuele_ionen/ppi__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/ppi__full_atoms.svg,structure,resolved,generated_structure,
Propionyl-CoA,Propionyl-CoA,propionyl-coa,,"InChI=1S/C24H40N7O17P3S/c1-4-15(33)52-8-7-26-14(32)5-6-27-22(36)19(35)24(2,3)10-45-51(42,43)48-50(40,41)44-9-13-18(47-49(37,38)39)17(34)23(46-13)31-12-30-16-20(25)28-11-29-21(16)31/h11-13,17-19,23,34-35H,4-10H2,1-3H3,(H,26,32)(H,27,36)(H,40,41)(H,42,43)(H2,25,28,29)(H2,37,38,39)/t13-,17-,18-,19+,23-/m1/s1",assets/molecules/vorhanden/coa_thioester/propionyl-coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/propionyl-coa__full_atoms.svg,structure,resolved,generated_structure,
Pyruvat,Pyruvate,pyruvat,,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/pyruvat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/pyruvat__full_atoms.svg,structure,resolved,generated_structure,
Ribose-5-Phosphat,Ribose-5-phosphate,ribose-5-phosphat,,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h1,3-5,7-9H,2H2,(H2,10,11,12)/t3-,4+,5-/m0/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/ribose-5-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/ribose-5-phosphat__full_atoms.svg,structure,resolved,generated_structure,
Ribulose-5-Phosphat,Ribulose-5-phosphate,ribulose-5-phosphat,,"InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h4-6,8-9H,1-2H2,(H2,10,11,12)/t4-,5+/m1/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/ribulose-5-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/ribulose-5-phosphat__full_atoms.svg,structure,resolved,generated_structure,
S-Adenosylhomocystein,S-Adenosylhomocysteine,s-adenosylhomocystein,,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",assets/molecules/vorhanden/aminosaeuren_metabolite/s-adenosylhomocystein__skeletal.svg,assets/molecules/vorhanden/aminosaeuren_metabolite/s-adenosylhomocystein__full_atoms.svg,structure,resolved,generated_structure,
S-Adenosylmethionin,S-Adenosylmethionine,s-adenosylmethionin,,"InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)/t7-,8+,10+,11+,14+,27?/m0/s1",assets/molecules/vorhanden/aminosaeuren_metabolite/s-adenosylmethionin__skeletal.svg,assets/molecules/vorhanden/aminosaeuren_metabolite/s-adenosylmethionin__full_atoms.svg,structure,resolved,generated_structure,
