original_name,english_name,slug,smiles,inchi,skeletal_svg_path,full_atoms_svg_path,render_type,resolver_status,status,reason
Galaktose-1-Phosphat,Galactose-1-phosphate,galaktose-1-phosphat,,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3+,4+,5-,6-/m1/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/galaktose-1-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/galaktose-1-phosphat__full_atoms.svg,structure,resolved,generated_structure,
GDP,GDP,gdp,,"InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/gdp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/gdp__full_atoms.svg,structure,resolved,generated_structure,
Geranylpyrophosphat,Geranylpyrophosphat,geranylpyrophosphat,,,assets/molecules/nicht_vorhanden/geranylpyrophosphat__skeletal.svg,assets/molecules/nicht_vorhanden/geranylpyrophosphat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
Glucose,Glucose,glucose,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glucose__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glucose__full_atoms.svg,structure,resolved,generated_structure,
Glucose-1-Phosphat,Glucose-1-Phosphat,glucose-1-phosphat,,"InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6-/m1/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glucose-1-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glucose-1-phosphat__full_atoms.svg,structure,resolved,generated_structure,
Glucose-6-Phosphat,Glucose-6-Phosphat,glucose-6-phosphat,,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h1,3-6,8-11H,2H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glucose-6-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glucose-6-phosphat__full_atoms.svg,structure,resolved,generated_structure,
Glutamat,Glutamate,glutamat,,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",assets/molecules/vorhanden/aminosaeuren/glutamat__skeletal.svg,,structure,resolved,generated_structure,
Glycerin-3-Phosphat,Glycerol-3-phosphate,glycerin-3-phosphat,,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)",assets/molecules/vorhanden/lipide/glycerin-3-phosphat__skeletal.svg,assets/molecules/vorhanden/lipide/glycerin-3-phosphat__full_atoms.svg,structure,resolved,generated_structure,
Glycerinaldehyd,Glyceraldehyde,glycerinaldehyd,,"InChI=1S/C3H6O3/c4-1-3(6)2-5/h1,3,5-6H,2H2",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glycerinaldehyd__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glycerinaldehyd__full_atoms.svg,structure,resolved,generated_structure,
Glycerinaldehyd-3-Phosphat,Glyceraldehyde-3-phosphate,glycerinaldehyd-3-phosphat,,"InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h1,3,5H,2H2,(H2,6,7,8)",assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glycerinaldehyd-3-phosphat__skeletal.svg,assets/molecules/vorhanden/kohlenhydrate_zuckerphosphate/glycerinaldehyd-3-phosphat__full_atoms.svg,structure,resolved,generated_structure,
Glyoxylat,Glyoxylate,glyoxylat,,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)/p-1",assets/molecules/vorhanden/kleine_molekuele_ionen/glyoxylat__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/glyoxylat__full_atoms.svg,structure,resolved,generated_structure,
GSSG,GSSG,gssg,,"InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1",assets/molecules/vorhanden/redox_cofaktoren/gssg__skeletal.svg,assets/molecules/vorhanden/redox_cofaktoren/gssg__full_atoms.svg,structure,resolved,generated_structure,
GTP,GTP,gtp,,"InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/gtp__skeletal.svg,assets/molecules/vorhanden/nucleotide_nukleoside_udp_zucker/gtp__full_atoms.svg,structure,resolved,generated_structure,
H⁺,H⁺,hplus,,InChI=1S/p+1,assets/molecules/vorhanden/kleine_molekuele_ionen/hplus__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/hplus__full_atoms.svg,structure,resolved,generated_structure,
H₂O,H₂O,h-o,,InChI=1S/H2O/h1H2,assets/molecules/vorhanden/kleine_molekuele_ionen/h-o__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/h-o__full_atoms.svg,structure,resolved,generated_structure,
H₂O₂,H₂O₂,h-o-2,,InChI=1S/H2O2/c1-2/h1-2H,assets/molecules/vorhanden/kleine_molekuele_ionen/h-o-2__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/h-o-2__full_atoms.svg,structure,resolved,generated_structure,
Häm,Heme,haem,,"InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);/q;+2/p-2",assets/molecules/vorhanden/kleine_molekuele_ionen/haem__skeletal.svg,assets/molecules/vorhanden/kleine_molekuele_ionen/haem__full_atoms.svg,structure,resolved,generated_structure,
Harnstoff,Urea,harnstoff,,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",assets/molecules/vorhanden/harnstoffzyklus/harnstoff__skeletal.svg,assets/molecules/vorhanden/harnstoffzyklus/harnstoff__full_atoms.svg,structure,resolved,generated_structure,
HMG-CoA,HMG-CoA,hmg-coa,,"InChI=1S/C27H44N7O20P3S/c1-26(2,21(40)24(41)30-5-4-15(35)29-6-7-58-17(38)9-27(3,42)8-16(36)37)11-51-57(48,49)54-56(46,47)50-10-14-20(53-55(43,44)45)19(39)25(52-14)34-13-33-18-22(28)31-12-32-23(18)34/h12-14,19-21,25,39-40,42H,4-11H2,1-3H3,(H,29,35)(H,30,41)(H,36,37)(H,46,47)(H,48,49)(H2,28,31,32)(H2,43,44,45)/t14-,19-,20-,21+,25-,27+/m1/s1",assets/molecules/vorhanden/coa_thioester/hmg-coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/hmg-coa__full_atoms.svg,structure,resolved,generated_structure,
Homocystein,Homocysteine,homocystein,,"InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)/t3-/m0/s1",assets/molecules/vorhanden/aminosaeuren_metabolite/homocystein__skeletal.svg,assets/molecules/vorhanden/aminosaeuren_metabolite/homocystein__full_atoms.svg,structure,resolved,generated_structure,
Isocitrat,Isocitrate,isocitrat,,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)",assets/molecules/vorhanden/citratzyklus/isocitrat__skeletal.svg,assets/molecules/vorhanden/citratzyklus/isocitrat__full_atoms.svg,structure,resolved,generated_structure,
Isopentenylpyrophosphat,Isopentenylpyrophosphat,isopentenylpyrophosphat,,,assets/molecules/nicht_vorhanden/isopentenylpyrophosphat__skeletal.svg,assets/molecules/nicht_vorhanden/isopentenylpyrophosphat__full_atoms.svg,placeholder,unresolved,generated_placeholder,resolver_not_found
L-Glutamat,L-Glutamate,l-glutamat,,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",assets/molecules/vorhanden/aminosaeuren/l-glutamat__skeletal.svg,,structure,resolved,generated_structure,
L-Methylmalonyl-CoA,L-Methylmalonyl-CoA,l-methylmalonyl-coa,,"InChI=1S/C25H40N7O19P3S/c1-12(23(37)38)24(39)55-7-6-27-14(33)4-5-28-21(36)18(35)25(2,3)9-48-54(45,46)51-53(43,44)47-8-13-17(50-52(40,41)42)16(34)22(49-13)32-11-31-15-19(26)29-10-30-20(15)32/h10-13,16-18,22,34-35H,4-9H2,1-3H3,(H,27,33)(H,28,36)(H,37,38)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t12-,13-,16-,17-,18+,22-/m1/s1",assets/molecules/vorhanden/coa_thioester/l-methylmalonyl-coa__skeletal.svg,assets/molecules/vorhanden/coa_thioester/l-methylmalonyl-coa__full_atoms.svg,structure,resolved,generated_structure,
